Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Serial Number
513,"K Ito, KF Chung, IM Adcock",Update on glucocorticoid action and resistance,2006.0,Journal of Allergy and Clinical Immunology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0091674906002892,https://scholar.google.com/scholar?cites=10314728381091539196&as_sdt=2005&sciodt=2007&hl=en,11,18/7/2021 17:22,,,,,,,,,513,34.2,171,3,15.0,"Extensive development of inhaled and oral glucocorticoids has resulted in highly potent molecules that have been optimized to target activity to the lung and minimize systemic exposure. These have proved highly effective for most asthmatic subjects, but despite these …",https://antoniorondonlugo.com/wp-content/uploads/2008/04/Kazuhiro_Glucocorticoid_JACI_2006.pdf,https://scholar.google.com/scholar?q=related:_OiZFdBGJY8J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,11
511,"E Irusen, JG Matthews, A Takahashi, PJ Barnes…",p38 Mitogen-activated protein kinase–induced glucocorticoid receptor phosphorylation reduces its activity: Role in steroid-insensitive asthma,2002.0,Journal of Allergy and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0091674902629550,https://scholar.google.com/scholar?cites=12363206060395362573&as_sdt=2005&sciodt=2007&hl=en,12,18/7/2021 17:22,,,,,,,,,511,26.89,102,5,19.0,"Background: Although glucocorticoids are the most effective treatment for chronic inflammatory diseases, such as asthma, some patients show a poor response. IL-2 combined with IL-4 can alter glucocorticoid receptor (GR) ligand-binding affinity and …",https://www.academia.edu/download/46368816/mai.2002.12246520160609-25835-11yckd5.pdf,https://scholar.google.com/scholar?q=related:DXnSqmjukqsJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,12
496,"DM Vigushin, S Ali, PE Pace, N Mirsaidi, K Ito…",Trichostatin A is a histone deacetylase inhibitor with potent antitumor activity against breast cancer in vivo,2001.0,Clinical Cancer …,AACR,https://clincancerres.aacrjournals.org/content/7/4/971.short,https://scholar.google.com/scholar?cites=9823423963010525547&as_sdt=2005&sciodt=2007&hl=en,15,18/7/2021 17:22,,,,,,,,,496,24.8,83,6,20.0,"Purpose: Trichostatin A (TSA), an antifungal antibiotic with cytostatic and differentiating properties in mammalian cell culture, is a potent and specific inhibitor of histone deacetylase (HDAC) activity. The purpose of this study was to evaluate the antiproliferative and HDAC …",https://clincancerres.aacrjournals.org/content/clincanres/7/4/971.full.pdf,https://scholar.google.com/scholar?q=related:a2lNMQzQU4gJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,13
487,"PJ Barnes, K Ito, IM Adcock",Corticosteroid resistance in chronic obstructive pulmonary disease: inactivation of histone deacetylase,2004.0,The Lancet,Elsevier,https://www.sciencedirect.com/science/article/pii/S014067360415650X,https://scholar.google.com/scholar?cites=2590744442579001279&as_sdt=2005&sciodt=2007&hl=en,14,18/7/2021 17:22,,,,,,,,,487,28.65,162,3,17.0,"By contrast with patients with asthma, those with chronic obstructive pulmonary disease (COPD) are poorly responsive to the anti-inflammatory actions of corticosteroids, and these drugs provide little clinical benefit. In both diseases, multiple inflammatory genes are …",,https://scholar.google.com/scholar?q=related:vx-9G1gs9CMJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,14
486,"PJ Barnes, IM Adcock",How do corticosteroids work in asthma?,2003.0,Annals of internal medicine,acpjournals.org,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-139-5_Part_1-200309020-00012,https://scholar.google.com/scholar?cites=8025851532678432911&as_sdt=2005&sciodt=2007&hl=en,13,18/7/2021 17:22,,10.7326/0003-4819-139-5_Part_1-200309020-00012,,,,,,,486,27.0,243,2,18.0,LOGIN TO YOUR ACCOUNT. INDIVIDUAL LOGIN | REGISTER or INSTITUTIONAL LOGIN. Create a new account. Email. Returning user. Can't sign in? Forgot your password? Enter your email address below and we will send you the reset instructions. Email*. Cancel. If the address matches …,http://www2.hawaii.edu/~akoseki/steroasthma.pdf,https://scholar.google.com/scholar?q=related:j4hSOXKNYW8J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,15
468,"R Newton, LME Kuitert, M Bergmann, IM Adcock…",Evidence for involvement of NF-κB in the transcriptional control of COX-2 gene expression by IL-1β,1997.0,Biochemical and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006291X97970649,https://scholar.google.com/scholar?cites=9759996769854532138&as_sdt=2005&sciodt=2007&hl=en,16,18/7/2021 17:22,,,,,,,,,468,19.5,94,5,24.0,The cyclooxygenase (COX) isoforms COX-1 and COX-2 convert arachidonic acid to prostaglandin (PG) precursors and are a limiting step in PG production. Interleukin-1β (IL-1β) treatment of type II A549 cells increases PGE 2 synthesis via transcription-and …,,https://scholar.google.com/scholar?q=related:Kqoj_Fl5cocJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,16
443,"IM Adcock, G Caramori",Cross‐talk between pro‐inflammatory transcription factors and glucocorticoids,2001.0,Immunology and cell biology,Wiley Online Library,https://asi.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1440-1711.2001.01025.x,https://scholar.google.com/scholar?cites=5290070654808135862&as_sdt=2005&sciodt=2007&hl=en,17,18/7/2021 17:22,,10.1046/j.1440-1711.2001.01025.x,,,,,,,443,22.15,222,2,20.0,"Asthma is a chronic inflammatory disease of the airway that is characterized by cellular infiltration and activation. These processes are induced by overexpression of chemokines and cytokines, such as eotaxin, IL‐1β and GM‐CSF. These mediators are downstream …",,https://scholar.google.com/scholar?q=related:tpiOiDsbakkJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,17
424,"M Allen, A Heinzmann, E Noguchi, G Abecasis…",Positional cloning of a novel gene influencing asthma from chromosome 2q14,2003.0,Nature …,nature.com,https://www.nature.com/articles/ng1256,https://scholar.google.com/scholar?cites=258002538847546816&as_sdt=2005&sciodt=2007&hl=en,19,18/7/2021 17:22,,,,,,,,,424,23.56,85,5,18.0,"Asthma is a common disease in children and young adults. Four separate reports have linked asthma and related phenotypes to an ill-defined interval between 2q14 and 2q32 (refs. 1–4), and two mouse genome screens have linked bronchial hyper-responsiveness to …",https://www.researchgate.net/profile/Jonathon-Tinsley/publication/9045330_Positional_cloning_of_a_novel_gene_influencing_asthma_from_Chromosome_2q14/links/09e41506c0b4b43756000000/Positional-cloning-of-a-novel-gene-influencing-asthma-from-Chromosome-2q14.pdf,https://scholar.google.com/scholar?q=related:wC0oL_GblAMJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,18
414,"Y Zhang, NI Leaves, GG Anderson, CP Ponting…",Positional cloning of a quantitative trait locus on chromosome 13q14 that influences immunoglobulin E levels and asthma,2003.0,Nature …,nature.com,https://www.nature.com/articles/ng1166,https://scholar.google.com/scholar?cites=646276033232429297&as_sdt=2005&sciodt=2007&hl=en,20,18/7/2021 17:22,,,,,,,,,414,23.0,83,5,18.0,"Atopic or immunoglobulin E (IgE)-mediated diseases include the common disorders of asthma, atopic dermatitis and allergic rhinitis 1. Chromosome 13q14 shows consistent linkage to atopy and the total serum IgE concentration 2, 3, 4, 5, 6. We previously identified …",https://www.academia.edu/download/33896329/Nat.Genet.vol.34-pp.181.pdf,https://scholar.google.com/scholar?q=related:8eCqy6AI-AgJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,19
370,"DE Shaw, AR Sousa, SJ Fowler…",Clinical and inflammatory characteristics of the European U-BIOPRED adult severe asthma cohort,2015.0,European …,Eur Respiratory Soc,https://erj.ersjournals.com/content/46/5/1308.short,https://scholar.google.com/scholar?cites=14369162626023393853&as_sdt=2005&sciodt=2007&hl=en,21,18/7/2021 17:22,,,,,,,,,370,61.67,93,4,6.0,"U-BIOPRED is a European Union consortium of 20 academic institutions, 11 pharmaceutical companies and six patient organisations with the objective of improving the understanding of asthma disease mechanisms using a systems biology approach. This cross-sectional …",https://erj.ersjournals.com/content/erj/46/5/1308.full.pdf,https://scholar.google.com/scholar?q=related:PYrx-0aFaccJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,20
363,"Y To, K Ito, Y Kizawa, M Failla, M Ito…",Targeting phosphoinositide-3-kinase-δ with theophylline reverses corticosteroid insensitivity in chronic obstructive pulmonary disease,2010.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.200906-0937OC,https://scholar.google.com/scholar?cites=6063186589584822967&as_sdt=2005&sciodt=2007&hl=en,22,18/7/2021 17:22,,10.1164/rccm.200906-0937OC,,,,,,,363,33.0,61,6,11.0,Rationale: Patients with chronic obstructive pulmonary disease (COPD) show a poor response to corticosteroids. This has been linked to a reduction of histone deacetylase-2 as a result of oxidative stress and is reversed by theophylline. Objectives: To determine the role …,https://www.atsjournals.org/doi/pdf/10.1164/rccm.200906-0937OC,https://scholar.google.com/scholar?q=related:t5IdPxTEJFQJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,21
354,"K Ito, G Caramori, S Lim, T Oates…",Expression and activity of histone deacetylases in human asthmatic airways,2002.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.2110060,https://scholar.google.com/scholar?cites=9044097172441451771&as_sdt=2005&sciodt=2007&hl=en,23,18/7/2021 17:22,,10.1164/rccm.2110060,,,,,,,354,18.63,71,5,19.0,Asthma is a chronic inflammatory disease that is characterized by increased expression of multiple inflammatory genes. Chromatin modification plays a critical role in the regulation of these genes. Acetyaltion of histones by histone acetyltransferases (HATs) is associated with …,https://www.atsjournals.org/doi/pdf/10.1164/rccm.2110060,https://scholar.google.com/scholar?q=related:-8x87XUWg30J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,22
345,"R Hayashi, H Wada, K Ito, IM Adcock",Effects of glucocorticoids on gene transcription,2004.0,European journal of pharmacology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0014299904007204,https://scholar.google.com/scholar?cites=9266138447792640075&as_sdt=2005&sciodt=2007&hl=en,24,18/7/2021 17:22,,,,,,,,,345,20.29,86,4,17.0,Glucocorticoids bind to and activate a cytoplasmic glucocorticoid receptor. The activated glucocorticoid receptor translocates into the nucleus and binds to specific response elements in the promoter regions of anti-inflammatory genes such as lipocortin-1 and …,,https://scholar.google.com/scholar?q=related:SxBF_NLvl4AJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,23
339,"IM Adcock, CR Brown, O Kwon, PJ Barnes",Oxidative stress induces NFκB DNA binding and inducible NOS mRNA in human epithelial cells,1994.0,Biochemical and biophysical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006291X84714033,https://scholar.google.com/scholar?cites=11562022866443565410&as_sdt=2005&sciodt=2007&hl=en,41,18/7/2021 17:22,,,,,,,,,339,12.56,85,4,27.0,"Free radicals generated by a partial reduction of O 2 pose a serious threat to tissues and vital organs and cells. The major site of interaction between the lung and inhaled oxidants is the epithelium. We have examined the effect of pyrogallol, an O 2-generator, on the ability of …",,https://scholar.google.com/scholar?q=related:YvlP74mOdKAJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,24
327,"IM Adcock, SJ Lane, CR Brown, TH Lee…",Abnormal glucocorticoid receptor-activator protein 1 interaction in steroid-resistant asthma.,1995.0,The Journal of …,rupress.org,https://rupress.org/jem/article-abstract/182/6/1951/25478,https://scholar.google.com/scholar?cites=6142456055983052466&as_sdt=2005&sciodt=2007&hl=en,27,18/7/2021 17:22,,,,,,,,,327,12.58,65,5,26.0,"Glucocorticosteroids are a very effective treatment for asthma and other chronic inflammatory diseases. However, a small proportion of patients is resistant to the therapeutic effects of glucocorticoids. Pharmacokinetic and ligand binding studies suggest that the …",https://rupress.org/jem/article-pdf/182/6/1951/1107546/1951.pdf,https://scholar.google.com/scholar?q=related:shZRIT1jPlUJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,25
314,"PJ Barnes, IM Adcock",NF-kB: a pivotal role in asthma and a new target for therapy,1997.0,Trends in pharmacological sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165614797897969,https://scholar.google.com/scholar?cites=1677499228970837313&as_sdt=2005&sciodt=2007&hl=en,444,18/7/2021 17:22,CITATION,,,,,,,,314,13.08,157,2,24.0,"Asthma is a complex chronic inflammatory disease of the airways that is increasing in prevalence and morbidity world-wide. While the causes of asthma remain obscure, there have been important advances in understanding the underlying inflammatory processes …",,https://scholar.google.com/scholar?q=related:QWXMNamsRxcJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,26
306,"M Hew, P Bhavsar, A Torrego, S Meah…",Relative corticosteroid insensitivity of peripheral blood mononuclear cells in severe asthma,2006.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.200512-1930OC,https://scholar.google.com/scholar?cites=12832675358451513407&as_sdt=2005&sciodt=2007&hl=en,29,18/7/2021 17:22,,10.1164/rccm.200512-1930OC,,,,,,,306,20.4,61,5,15.0,"Rationale and Objectives: Patients with severe asthma have a poor therapeutic response to corticosteroid therapy, and corticosteroid responsiveness cannot be easily measured in these patients. We hypothesized that this poor response is associated with a reduced effect …",https://www.atsjournals.org/doi/pdf/10.1164/rccm.200512-1930OC,https://scholar.google.com/scholar?q=related:Pzhpgj_SFrIJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,27
296,"IM Adcock, PJ Barnes",Molecular mechanisms of corticosteroid resistance,2008.0,Chest,Elsevier,https://www.sciencedirect.com/science/article/pii/S0012369208602159,https://scholar.google.com/scholar?cites=17229096561818972199&as_sdt=2005&sciodt=2007&hl=en,26,18/7/2021 17:22,,,,,,,,,296,22.77,148,2,13.0,"Most patients with asthma are successfully treated with conventional therapy. Nevertheless, there is a small proportion of asthmatic patients, including present cigarette smokers and former cigarette smokers, who fail to respond well to therapy with high-dose glucocorticoids …",,https://scholar.google.com/scholar?q=related:J7AfEAoMGu8J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,28
283,"IM Adcock, G Caramori, KF Chung",New targets for drug development in asthma,2008.0,The Lancet,Elsevier,https://www.sciencedirect.com/science/article/pii/S014067360861449X,https://scholar.google.com/scholar?cites=11200732020748748800&as_sdt=2005&sciodt=2007&hl=en,28,18/7/2021 17:22,,,,,,,,,283,21.77,94,3,13.0,"Asthma is a chronic inflammatory disease that affects about 300 million people worldwide, a total that is expected to rise to about 400 million over the next 15–20 years. Most asthmatic individuals respond well to the currently available treatments of inhaled corticosteroids and …",https://www.academia.edu/download/46368889/s0140-6736_2808_2961449-x20160609-25839-unm12q.pdf,https://scholar.google.com/scholar?q=related:AIgSyW3-cJsJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,29
283,"JA Marwick, G Caramori, CS Stevenson…",Inhibition of PI3Kδ restores glucocorticoid function in smoking-induced airway inflammation in mice,2009.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.200810-1570oc,https://scholar.google.com/scholar?cites=6918846847458374479&as_sdt=2005&sciodt=2007&hl=en,31,18/7/2021 17:22,,10.1164/rccm.200810-1570oc,,,,,,,283,23.58,71,4,12.0,Rationale: There is an increasing prevalence of reduced responsiveness to glucocorticoid therapy in severe asthma and chronic obstructive pulmonary disease (COPD). The molecular mechanism of this remains unknown. Recent studies have shown that histone …,https://www.atsjournals.org/doi/pdf/10.1164/rccm.200810-1570OC,https://scholar.google.com/scholar?q=related:T3MW1oyuBGAJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,30
281,"P Bhavsar, M Hew, N Khorasani, A Torrego, PJ Barnes…",Relative corticosteroid insensitivity of alveolar macrophages in severe asthma compared with non-severe asthma,2008.0,Thorax,thorax.bmj.com,https://thorax.bmj.com/content/63/9/784.short,https://scholar.google.com/scholar?cites=15453623217606359584&as_sdt=2005&sciodt=2007&hl=en,35,18/7/2021 17:22,,,,,,,,,281,21.62,47,6,13.0,"Background: About 5–10% of patients with asthma suffer from poorly controlled disease despite corticosteroid (CS) treatment, which may indicate the presence of CS insensitivity. A study was undertaken to determine whether relative CS insensitivity is present in alveolar …",https://thorax.bmj.com/content/thoraxjnl/63/9/784.full.pdf,https://scholar.google.com/scholar?q=related:IPoninBMdtYJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,31
277,"BG Cosío, B Mann, K Ito, E Jazrawi…",Histone acetylase and deacetylase activity in alveolar macrophages and blood mononocytes in asthma,2004.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.200305-659OC,https://scholar.google.com/scholar?cites=7891729344448116227&as_sdt=2005&sciodt=2007&hl=en,32,18/7/2021 17:22,,10.1164/rccm.200305-659OC,,,,,,,277,16.29,55,5,17.0,"Histone acetylation status is a key factor in the regulation of inflammatory gene transcription. We investigated the activity of histone acetylases (HAT) and deacetylases (HDAC), and the effect of glucocorticoids in alveolar macrophages (AM) and peripheral blood mononuclear …",https://www.atsjournals.org/doi/pdf/10.1164/rccm.200305-659OC,https://scholar.google.com/scholar?q=related:AzZbzwYOhW0J:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,32
273,"J Bousquet, JM Anto, PJ Sterk, IM Adcock, KF Chung…",Systems medicine and integrated care to combat chronic noncommunicable diseases,2011.0,Genome medicine,Springer,https://link.springer.com/article/10.1186/gm259,https://scholar.google.com/scholar?cites=16752112545795368249&as_sdt=2005&sciodt=2007&hl=en,30,18/7/2021 17:22,HTML,10.1186/gm259,,,,,,,273,27.3,46,6,10.0,"We propose an innovative, integrated, cost-effective health system to combat major non-communicable diseases (NCDs), including cardiovascular, chronic respiratory, metabolic, rheumatologic and neurologic disorders and cancers, which together are the predominant …",https://link.springer.com/article/10.1186/gm259,https://scholar.google.com/scholar?q=related:OWV_mZp1e-gJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,33
261,"OS Usmani, K Ito, K Maneechotesuwan…",Glucocorticoid receptor nuclear translocation in airway cells after inhaled combination therapy,2005.0,American journal of …,atsjournals.org,https://www.atsjournals.org/doi/abs/10.1164/rccm.200408-1041OC,https://scholar.google.com/scholar?cites=9731054640681512681&as_sdt=2005&sciodt=2007&hl=en,40,18/7/2021 17:22,,10.1164/rccm.200408-1041OC,,,,,,,261,16.31,65,4,16.0,"Clinical evidence is accumulating for the efficacy of adding inhaled long-acting β2-agonists (LABAs) to corticosteroids in asthma. Corticosteroids bind to cytoplasmic glucocorticoid receptors (GRs), which then translocate to the nucleus where they regulate gene …",https://www.atsjournals.org/doi/pdf/10.1164/rccm.200408-1041OC,https://scholar.google.com/scholar?q=related:6e68a6OmC4cJ:scholar.google.com/&scioq=author:%22ian+adcock%22&hl=en&as_sdt=2007,34
